split,scenario_id,scenario_file,materials,order_steps,material_type_counts,order_step_type_counts,feasible_matches_total,allocatable_matches,non_allocatable_matches,scored_matches,above_threshold_matches,unique_assignable_order_steps,unique_assignable_materials,failed_rule_counts,greedy_assignments_selected,greedy_total_match_score,greedy_total_penalty,greedy_total_bonus,greedy_total_score
train,train_000,train_000.json,17,8,"{""BR"": 14, ""RG"": 3}","{""HR"": 8}",136,23,113,23,5,3,5,"{""dimension_mismatch"": 113, ""type_pair_not_allowed"": 24}",3,0.5333333333333333,10.0,30.0,20.53333333333333
train,train_001,train_001.json,23,8,"{""BR"": 20, ""RG"": 3}","{""HR"": 8}",184,23,161,23,9,4,9,"{""dimension_mismatch"": 161, ""type_pair_not_allowed"": 24}",4,0.3999999999999999,8.0,40.0,32.4
train,train_002,train_002.json,18,8,"{""BR"": 16, ""RG"": 2}","{""HR"": 8}",144,24,120,24,3,2,3,"{""dimension_mismatch"": 120, ""type_pair_not_allowed"": 16}",2,0.04999999999999993,12.0,20.0,8.05
train,train_003,train_003.json,17,8,"{""BR"": 13, ""RG"": 4}","{""HR"": 8}",136,23,113,23,1,1,1,"{""dimension_mismatch"": 113, ""type_pair_not_allowed"": 32}",1,0.08333333333333337,14.0,10.0,-3.916666666666666
train,train_004,train_004.json,20,8,"{""BR"": 14, ""RG"": 6}","{""HR"": 8}",160,23,137,23,4,4,3,"{""dimension_mismatch"": 137, ""type_pair_not_allowed"": 48}",3,0.1333333333333333,10.0,30.0,20.133333333333333
train,train_005,train_005.json,16,8,"{""BR"": 13, ""RG"": 3}","{""HR"": 8}",128,21,107,21,7,4,7,"{""dimension_mismatch"": 107, ""type_pair_not_allowed"": 24}",4,0.35000000000000003,8.0,40.0,32.35
train,train_006,train_006.json,23,8,"{""BR"": 21, ""RG"": 2}","{""HR"": 8}",184,23,161,23,8,5,8,"{""dimension_mismatch"": 161, ""type_pair_not_allowed"": 16}",5,0.16666666666666657,6.0,50.0,44.166666666666664
train,train_007,train_007.json,16,8,"{""BR"": 10, ""RG"": 6}","{""HR"": 8}",128,25,103,25,4,2,4,"{""dimension_mismatch"": 103, ""type_pair_not_allowed"": 48}",2,0.11666666666666659,12.0,20.0,8.116666666666667
train,train_008,train_008.json,17,8,"{""BR"": 12, ""RG"": 5}","{""HR"": 8}",136,21,115,21,9,5,8,"{""dimension_mismatch"": 115, ""type_pair_not_allowed"": 40}",4,0.4999999999999999,8.0,40.0,32.5
train,train_009,train_009.json,20,8,"{""BR"": 16, ""RG"": 4}","{""HR"": 8}",160,21,139,21,6,5,5,"{""dimension_mismatch"": 139, ""type_pair_not_allowed"": 32}",4,0.18333333333333324,8.0,40.0,32.18333333333334
train,train_010,train_010.json,17,8,"{""BR"": 12, ""RG"": 5}","{""HR"": 8}",136,22,114,22,8,4,8,"{""dimension_mismatch"": 114, ""type_pair_not_allowed"": 40}",4,0.3999999999999999,8.0,40.0,32.4
train,train_011,train_011.json,16,8,"{""BR"": 11, ""RG"": 5}","{""HR"": 8}",128,25,103,25,7,3,5,"{""dimension_mismatch"": 103, ""type_pair_not_allowed"": 40}",3,0.3666666666666667,10.0,30.0,20.366666666666667
train,train_012,train_012.json,17,8,"{""BR"": 16, ""RG"": 1}","{""HR"": 8}",136,23,113,23,7,3,5,"{""dimension_mismatch"": 113, ""type_pair_not_allowed"": 8}",3,0.5666666666666665,10.0,30.0,20.566666666666666
