split,scenario_id,scenario_file,mat_type_code,prod_step_type_code,total_matches,allocatable_matches,non_allocatable_matches,scored_matches,threshold_matches,avg_score,min_score,max_score,failed_rule_names
train,train_000,train_000.json,BR,HR,112,23,89,23,5,-0.32536231884057976,-0.7166666666666667,0.44999999999999996,"{""dimension_mismatch"": 89}"
train,train_000,train_000.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_001,train_001.json,BR,HR,160,23,137,23,9,-0.22173913043478266,-0.7166666666666667,0.30000000000000004,"{""dimension_mismatch"": 137}"
train,train_001,train_001.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_002,train_002.json,BR,HR,128,24,104,24,3,-0.3208333333333334,-0.65,0.04999999999999993,"{""dimension_mismatch"": 104}"
train,train_002,train_002.json,RG,HR,16,0,16,0,0,,,,"{""dimension_mismatch"": 16, ""type_pair_not_allowed"": 16}"
train,train_003,train_003.json,BR,HR,104,23,81,23,1,-0.360144927536232,-0.65,0.08333333333333337,"{""dimension_mismatch"": 81}"
train,train_003,train_003.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
train,train_004,train_004.json,BR,HR,112,23,89,23,4,-0.2543478260869566,-0.7166666666666667,0.08333333333333337,"{""dimension_mismatch"": 89}"
train,train_004,train_004.json,RG,HR,48,0,48,0,0,,,,"{""dimension_mismatch"": 48, ""type_pair_not_allowed"": 48}"
train,train_005,train_005.json,BR,HR,104,21,83,21,7,-0.3182539682539683,-0.7166666666666667,0.30000000000000004,"{""dimension_mismatch"": 83}"
train,train_005,train_005.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_006,train_006.json,BR,HR,168,23,145,23,8,-0.268840579710145,-0.8166666666666667,0.06666666666666665,"{""dimension_mismatch"": 145}"
train,train_006,train_006.json,RG,HR,16,0,16,0,0,,,,"{""dimension_mismatch"": 16, ""type_pair_not_allowed"": 16}"
train,train_007,train_007.json,BR,HR,80,25,55,25,4,-0.3673333333333335,-0.7166666666666667,0.06666666666666665,"{""dimension_mismatch"": 55}"
train,train_007,train_007.json,RG,HR,48,0,48,0,0,,,,"{""dimension_mismatch"": 48, ""type_pair_not_allowed"": 48}"
train,train_008,train_008.json,BR,HR,96,21,75,21,9,-0.1507936507936508,-0.65,0.44999999999999996,"{""dimension_mismatch"": 75}"
train,train_008,train_008.json,RG,HR,40,0,40,0,0,,,,"{""dimension_mismatch"": 40, ""type_pair_not_allowed"": 40}"
train,train_009,train_009.json,BR,HR,128,21,107,21,6,-0.26904761904761915,-0.8166666666666667,0.08333333333333337,"{""dimension_mismatch"": 107}"
train,train_009,train_009.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
train,train_010,train_010.json,BR,HR,96,22,74,22,8,-0.26287878787878793,-0.7166666666666667,0.30000000000000004,"{""dimension_mismatch"": 74}"
train,train_010,train_010.json,RG,HR,40,0,40,0,0,,,,"{""dimension_mismatch"": 40, ""type_pair_not_allowed"": 40}"
train,train_011,train_011.json,BR,HR,88,25,63,25,7,-0.31000000000000005,-0.7166666666666667,0.30000000000000004,"{""dimension_mismatch"": 63}"
train,train_011,train_011.json,RG,HR,40,0,40,0,0,,,,"{""dimension_mismatch"": 40, ""type_pair_not_allowed"": 40}"
train,train_012,train_012.json,BR,HR,128,23,105,23,7,-0.28623188405797106,-0.8166666666666667,0.44999999999999996,"{""dimension_mismatch"": 105}"
train,train_012,train_012.json,RG,HR,8,0,8,0,0,,,,"{""dimension_mismatch"": 8, ""type_pair_not_allowed"": 8}"
train,train_013,train_013.json,BR,HR,96,23,73,23,6,-0.26086956521739135,-0.7166666666666667,0.06666666666666665,"{""dimension_mismatch"": 73}"
train,train_013,train_013.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_014,train_014.json,BR,HR,112,22,90,22,3,-0.4371212121212123,-0.7166666666666667,0.04999999999999993,"{""dimension_mismatch"": 90}"
train,train_014,train_014.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_015,train_015.json,BR,HR,104,23,81,23,2,-0.4101449275362319,-0.8166666666666667,0.08333333333333337,"{""dimension_mismatch"": 81}"
train,train_015,train_015.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
train,train_016,train_016.json,BR,HR,88,23,65,23,6,-0.327536231884058,-0.7166666666666667,0.30000000000000004,"{""dimension_mismatch"": 65}"
train,train_016,train_016.json,RG,HR,48,0,48,0,0,,,,"{""dimension_mismatch"": 48, ""type_pair_not_allowed"": 48}"
train,train_017,train_017.json,BR,HR,112,20,92,20,5,-0.2908333333333334,-0.7166666666666667,0.44999999999999996,"{""dimension_mismatch"": 92}"
train,train_017,train_017.json,RG,HR,16,0,16,0,0,,,,"{""dimension_mismatch"": 16, ""type_pair_not_allowed"": 16}"
train,train_018,train_018.json,BR,HR,136,24,112,24,9,-0.11180555555555556,-0.7166666666666667,0.44999999999999996,"{""dimension_mismatch"": 112}"
train,train_018,train_018.json,RG,HR,8,0,8,0,0,,,,"{""dimension_mismatch"": 8, ""type_pair_not_allowed"": 8}"
train,train_019,train_019.json,BR,HR,104,23,81,23,5,-0.2992753623188406,-0.8166666666666667,0.30000000000000004,"{""dimension_mismatch"": 81}"
train,train_019,train_019.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
train,train_020,train_020.json,BR,HR,120,22,98,22,10,-0.1462121212121212,-0.65,0.44999999999999996,"{""dimension_mismatch"": 98}"
train,train_020,train_020.json,RG,HR,8,0,8,0,0,,,,"{""dimension_mismatch"": 8, ""type_pair_not_allowed"": 8}"
train,train_021,train_021.json,BR,HR,136,22,114,22,11,-0.15303030303030307,-0.65,0.30000000000000004,"{""dimension_mismatch"": 114}"
train,train_021,train_021.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_022,train_022.json,BR,HR,120,21,99,21,5,-0.3309523809523811,-0.65,0.08333333333333337,"{""dimension_mismatch"": 99}"
train,train_022,train_022.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
train,train_023,train_023.json,BR,HR,128,23,105,23,2,-0.3789855072463768,-0.7166666666666667,0.0,"{""dimension_mismatch"": 105}"
train,train_023,train_023.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
train,train_024,train_024.json,BR,HR,88,22,66,22,6,-0.3189393939393939,-0.65,0.30000000000000004,"{""dimension_mismatch"": 66}"
train,train_024,train_024.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_025,train_025.json,BR,HR,112,22,90,22,4,-0.39545454545454556,-0.7166666666666667,0.44999999999999996,"{""dimension_mismatch"": 90}"
train,train_026,train_026.json,BR,HR,96,23,73,23,10,-0.1818840579710145,-0.65,0.08333333333333337,"{""dimension_mismatch"": 73}"
train,train_026,train_026.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_027,train_027.json,BR,HR,88,22,66,22,8,-0.30303030303030304,-0.7166666666666667,0.30000000000000004,"{""dimension_mismatch"": 66}"
train,train_027,train_027.json,RG,HR,40,0,40,0,0,,,,"{""dimension_mismatch"": 40, ""type_pair_not_allowed"": 40}"
train,train_028,train_028.json,BR,HR,136,22,114,22,1,-0.4719696969696971,-0.7166666666666667,5.551115123125783e-17,"{""dimension_mismatch"": 114}"
train,train_028,train_028.json,RG,HR,16,0,16,0,0,,,,"{""dimension_mismatch"": 16, ""type_pair_not_allowed"": 16}"
train,train_029,train_029.json,BR,HR,136,22,114,22,5,-0.2931818181818183,-0.7166666666666667,0.44999999999999996,"{""dimension_mismatch"": 114}"
train,train_029,train_029.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_030,train_030.json,BR,HR,88,22,66,22,2,-0.4174242424242424,-0.7166666666666667,0.0,"{""dimension_mismatch"": 66}"
train,train_030,train_030.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_031,train_031.json,BR,HR,96,22,74,22,4,-0.3651515151515152,-0.7166666666666667,0.08333333333333337,"{""dimension_mismatch"": 74}"
train,train_031,train_031.json,RG,HR,16,0,16,0,0,,,,"{""dimension_mismatch"": 16, ""type_pair_not_allowed"": 16}"
train,train_032,train_032.json,BR,HR,152,25,127,25,4,-0.3066666666666668,-0.7166666666666667,0.04999999999999993,"{""dimension_mismatch"": 127}"
train,train_032,train_032.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
train,train_033,train_033.json,BR,HR,112,19,93,19,3,-0.35526315789473684,-0.65,0.04999999999999993,"{""dimension_mismatch"": 93}"
train,train_033,train_033.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
train,train_034,train_034.json,BR,HR,64,23,41,23,11,-0.10434782608695652,-0.65,0.44999999999999996,"{""dimension_mismatch"": 41}"
train,train_034,train_034.json,RG,HR,48,0,48,0,0,,,,"{""dimension_mismatch"": 48, ""type_pair_not_allowed"": 48}"
val,val_000,val_000.json,BR,HR,72,21,51,21,6,-0.34285714285714297,-0.65,0.06666666666666665,"{""dimension_mismatch"": 51}"
val,val_000,val_000.json,RG,HR,40,0,40,0,0,,,,"{""dimension_mismatch"": 40, ""type_pair_not_allowed"": 40}"
val,val_001,val_001.json,BR,HR,112,25,87,25,6,-0.23200000000000004,-0.65,0.30000000000000004,"{""dimension_mismatch"": 87}"
val,val_001,val_001.json,RG,HR,40,0,40,0,0,,,,"{""dimension_mismatch"": 40, ""type_pair_not_allowed"": 40}"
val,val_002,val_002.json,BR,HR,128,25,103,25,9,-0.24533333333333338,-0.7166666666666667,0.44999999999999996,"{""dimension_mismatch"": 103}"
val,val_002,val_002.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
val,val_003,val_003.json,BR,HR,88,24,64,24,2,-0.3923611111111112,-0.7166666666666667,0.0,"{""dimension_mismatch"": 64}"
val,val_003,val_003.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
val,val_004,val_004.json,BR,HR,120,21,99,21,9,-0.07698412698412703,-0.41666666666666663,0.44999999999999996,"{""dimension_mismatch"": 99}"
val,val_004,val_004.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
val,val_005,val_005.json,BR,HR,128,21,107,21,3,-0.3873015873015874,-0.65,0.04999999999999993,"{""dimension_mismatch"": 107}"
val,val_005,val_005.json,RG,HR,16,0,16,0,0,,,,"{""dimension_mismatch"": 16, ""type_pair_not_allowed"": 16}"
val,val_006,val_006.json,BR,HR,96,24,72,24,6,-0.36319444444444454,-0.8166666666666667,0.06666666666666665,"{""dimension_mismatch"": 72}"
val,val_006,val_006.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
val,val_007,val_007.json,BR,HR,144,26,118,26,5,-0.35705128205128206,-0.8166666666666667,0.04999999999999993,"{""dimension_mismatch"": 118}"
val,val_007,val_007.json,RG,HR,16,0,16,0,0,,,,"{""dimension_mismatch"": 16, ""type_pair_not_allowed"": 16}"
val,val_008,val_008.json,BR,HR,104,22,82,22,3,-0.393939393939394,-0.65,0.06666666666666665,"{""dimension_mismatch"": 82}"
